"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Jul 11 13:32:20 MSK 2024","Thu Jul 11 13:32:21 MSK 2024","232","test_API","test_api","","","","test_create_user",""
"passed","Thu Jul 11 13:32:21 MSK 2024","Thu Jul 11 13:32:21 MSK 2024","241","test_API","test_api","","","","test_update_user",""
"passed","Thu Jul 11 13:32:20 MSK 2024","Thu Jul 11 13:32:20 MSK 2024","262","test_API","test_api","","","","test_get_single_user",""
